name,qualifiedName,path,mark
clean.pneub2b,pneub2b,unknown,clean_dataset
manual.sellinPricing,sellinPricing,unknown,raw_dataset
clean.sellinPricing,sellinPricing,unknown,clean_dataset
raw.tire24DailyPricing,tire24DailyPricing,unknown,raw_dataset
clean.tire24DailyPricing,tire24DailyPricing,unknown,clean_dataset
raw.tireOnlineCommercial,tireOnlineCommercial,unknown,raw_dataset
clean.tireOnlineCommercial,tireOnlineCommercial,unknown,clean_dataset
raw.tireOnlineConsumer,tireOnlineConsumer,unknown,raw_dataset
clean.tireOnlineConsumer,tireOnlineConsumer,unknown,clean_dataset
raw.zero7zrPricing,zero7zrPricing,unknown,raw_dataset
clean.zero7zrPricing,zero7zrPricing,unknown,clean_dataset
manual.carLookup,carLookup,unknown,raw_dataset
clean.carLookup,carLookup,unknown,clean_dataset
v.raws,raws,unknown,raw_dataset
v.cleans,cleans,unknown,clean_dataset
v.dirtys,dirtys,unknown,clean_dataset
manual.denmarkCarPark,denmarkCarPark,unknown,raw_dataset
clean.denmarkCarPark.by2019.link,denmarkCarPark.by2019.link,unknown,clean_dataset
manual.experianTirePark.by2019,experianTirePark.by2019,unknown,raw_dataset
clean.experianTirePark.by2019.link,experianTirePark.by2019.link,unknown,clean_dataset
clean.experianTirePark.by2019Rejected.link,experianTirePark.by2019Rejected.link,unknown,clean_dataset
manual.experianTirePark.by2020,experianTirePark.by2020,unknown,raw_dataset
clean.experianTirePark.by2020.link,experianTirePark.by2020.link,unknown,clean_dataset
clean.experianTirePark.by2020Rejected.link,experianTirePark.by2020Rejected.link,unknown,clean_dataset
manual.frenchCarPark.prd,frenchCarPark.prd,unknown,raw_dataset
clean.frenchCarPark.by2019.link,frenchCarPark.by2019.link,unknown,clean_dataset
manual.germanTirePark.by2019,germanTirePark.by2019,unknown,raw_dataset
clean.germanTirePark.by2019.link,germanTirePark.by2019.link,unknown,clean_dataset
manual.germanTirePark.by2020,germanTirePark.by2020,unknown,raw_dataset
clean.germanTirePark.by2020.link,germanTirePark.by2020.link,unknown,clean_dataset
manual.tecAllianceCarPark.by2019,tecAllianceCarPark.by2019,unknown,raw_dataset
clean.tecAllianceCarPark.by2019.link,tecAllianceCarPark.by2019.link,unknown,clean_dataset
manual.extrapolatedCarPark,extrapolatedCarPark,unknown,raw_dataset
clean.extrapolatedCarPark,extrapolatedCarPark,unknown,clean_dataset
manual.skuPriority,skuPriority,unknown,raw_dataset
clean.skuPriority,skuPriority,unknown,clean_dataset
clean.skuPriorityRejected,skuPriorityRejected,unknown,clean_dataset
manual.strimFutureForecast,strimFutureForecast,unknown,raw_dataset
clean.strimFutureForecast,strimFutureForecast,unknown,clean_dataset
manual.survivalRate,survivalRate,unknown,raw_dataset
clean.survivalRate,survivalRate,unknown,clean_dataset
manual.vehicleFitmentV2021p02,vehicleFitmentV2021p02,unknown,raw_dataset
clean.vehicleFitmentV2021,vehicleFitmentV2021,unknown,clean_dataset
manual.vehicleFitment,vehicleFitment,unknown,raw_dataset
clean.vehicleFitment,vehicleFitment,unknown,clean_dataset
manual.bmfToTecDocMapping,bmfToTecDocMapping,unknown,raw_dataset
clean.bmfToTecDocMapping,bmfToTecDocMapping,unknown,clean_dataset
rawLink,,unknown,raw_dataset
cleanLink,,unknown,clean_dataset
manual.tecAllianceUpstep2016,tecAllianceUpstep2016,unknown,raw_dataset
manual.tecAllianceUpstep2017,tecAllianceUpstep2017,unknown,raw_dataset
manual.tecAllianceUpstep2018,tecAllianceUpstep2018,unknown,raw_dataset
manual.tecAllianceUpstep2018,tecAllianceUpstep2018,unknown,raw_dataset
clean.tecAllianceUpstep2016,tecAllianceUpstep2016,unknown,clean_dataset
clean.tecAllianceUpstep2017,tecAllianceUpstep2017,unknown,clean_dataset
clean.tecAllianceUpstep2018,tecAllianceUpstep2018,unknown,clean_dataset
clean.tecAllianceUpstep2019,tecAllianceUpstep2019,unknown,clean_dataset
manual.ukTireReplacementCurves,ukTireReplacementCurves,unknown,raw_dataset
clean.ukTireReplacementCurves,ukTireReplacementCurves,unknown,clean_dataset
manual.ihsSegments,ihsSegments,unknown,raw_dataset
clean.ihsSegments,ihsSegments,unknown,clean_dataset
clean.ihsSegments2021_01_05,ihsSegments2021_01_05,unknown,clean_dataset
manual.segmentConversion,segmentConversion,unknown,raw_dataset
clean.segmentConversion,segmentConversion,unknown,clean_dataset
raw.vendavoTransactions,vendavoTransactions,unknown,raw_dataset
clean.vendavoTransactions,vendavoTransactions,unknown,clean_dataset
raw.activationBrands,activationBrands,unknown,raw_dataset
clean.activationBrands,activationBrands,unknown,clean_dataset
clean.activationCampaign,activationCampaign,unknown,clean_dataset
raw.activationCampaigns,activationCampaigns,unknown,raw_dataset
clean.activationCampaigns,activationCampaigns,unknown,clean_dataset
raw.activationCampaignType,activationCampaignType,unknown,raw_dataset
clean.activationCampaignType,activationCampaignType,unknown,clean_dataset
raw.activationPos,activationPos,unknown,raw_dataset
clean.activationPos,activationPos,unknown,clean_dataset
clean.activationRims,activationRims,unknown,clean_dataset
raw.activationSeasons,activationSeasons,unknown,raw_dataset
clean.activationSeasons,activationSeasons,unknown,clean_dataset
raw.activationZips,activationZips,unknown,raw_dataset
clean.activationZips,activationZips,unknown,clean_dataset
clean.eraCoefficientV2,eraCoefficientV2,unknown,clean_dataset
clean.rangeAvailabilityV2,rangeAvailabilityV2,unknown,clean_dataset
manual.sizeClassification,sizeClassification,unknown,raw_dataset
clean.sizeClassification,sizeClassification,unknown,clean_dataset
raw.sccAmounts,sccAmounts,unknown,raw_dataset
clean.sccAmounts,sccAmounts,unknown,clean_dataset
clean.sccMonths,sccMonths,unknown,clean_dataset
clean.salesBonuses,salesBonuses,unknown,clean_dataset
raw.commercial.mriForecast,commercial.mriForecast,unknown,raw_dataset
clean.commercial.mriTireForecast,commercial.mriTireForecast,unknown,clean_dataset
clean.commercial.mriTireForecastRejected,commercial.mriTireForecastRejected,unknown,clean_dataset
clean.commercial.mriRetreadForecast,commercial.mriRetreadForecast,unknown,clean_dataset
clean.commercial.mriRetreadForecastRejected,commercial.mriRetreadForecastRejected,unknown,clean_dataset
