index,project_name,task_name,source_datasets,target_datasets,location
122,datalake-cleansing,ActivationCampaignsTask,['raw.activationCampaigns'],['clean.activationCampaigns'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/campaigns/ActivationCampaignsTask.scala
123,datalake-cleansing,ActivationCampaignTypeTask,['raw.activationCampaignType'],['clean.activationCampaignType'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/campaign_type/ActivationCampaignTypeTask.scala
124,datalake-cleansing,ActivationPosTask,['raw.activationPos'],['clean.activationPos'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/pos_activated/ActivationPosTask.scala
125,datalake-cleansing,ActivationRimTask,[],['clean.activationRims'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/rims/ActivationRimTask.scala
126,datalake-cleansing,ActivationSeasonTask,['raw.activationSeasons'],['clean.activationSeasons'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/seasons/ActivationSeasonTask.scala
127,datalake-cleansing,ActivationZipTask,['raw.activationZips'],['clean.activationZips'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/zip_activated/ActivationZipTask.scala
128,datalake-cleansing,EraCoefficientV2Task,[],['clean.eraCoefficientV2'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/availability/coefficient/EraCoefficientV2Task.scala
129,datalake-cleansing,RangeAvailabilityV2Task,[],['clean.rangeAvailabilityV2'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/availability/RangeAvailabilityV2Task.scala
130,datalake-cleansing,SizeClassificationTask,['manual.sizeClassification'],['clean.sizeClassification'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/classification/SizeClassificationTask.scala
131,datalake-cleansing,SccAmountTask,['raw.sccAmounts'],['clean.sccAmounts'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/scc/amounts/SccAmountTask.scala
132,datalake-cleansing,SccMonthTask,[],['clean.sccMonths'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/scc/months/SccMonthTask.scala
133,datalake-cleansing,SalesBonusTask,[],['clean.salesBonuses'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/c4c/salesmanbonus/SalesBonusTask.scala
134,datalake-cleansing,MRIForecastTask,['raw.commercial.mriForecast'],"['clean.commercial.mriTireForecast', 'clean.commercial.mriTireForecastRejected', 'clean.commercial.mriRetreadForecast', 'clean.commercial.mriRetreadForecastRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/commercial/mriforecast/MRIForecastTask.scala
135,datalake-cleansing,AdDistanceMatrixCacheTask,['raw.adDistanceMatrixCache'],['clean.adDistanceMatrixCache'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/distancematrix/cache/aldi/AdDistanceMatrixCacheTask.scala
136,datalake-cleansing,DistanceMatrixCacheTask,['raw.distanceMatrixCache'],['clean.distanceMatrixCache'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/distancematrix/cache/DistanceMatrixCacheTask.scala
137,datalake-cleansing,BeadbarCodeEventTask,['raw.beadbarCodeEvent'],['clean.beadbarCodeEvent'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/beadbarcodeevent/BeadbarCodeEventTask.scala
138,datalake-cleansing,CleansingCopaTask,['raw.copa'],['clean.copa'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/copa/CleansingCopaTask.scala
139,datalake-cleansing,CleansingCountryTask,['raw.country'],['clean.country'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/country/CleansingCountryTask.scala
140,datalake-cleansing,CleansingCountryExportMappingTask,['raw.countryExportMapping'],['clean.countryExportMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/countryexportmapping/CleansingCountryExportMappingTask.scala
141,datalake-cleansing,CountryHierarchyTask,['raw.countryHierarchy'],['clean.countryHierarchy'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/countryhierarchy/CountryHierarchyTask.scala
142,datalake-cleansing,CustomerHierarchyTask,['raw.customerHierarchy'],['clean.customerHierarchy'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/customerhierarchy/CustomerHierarchyTask.scala
143,datalake-cleansing,CustomersTask,['raw.edwCustomers'],['clean.edwCustomers'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/customers/CustomersTask.scala
144,datalake-cleansing,CleansingDemandPlanningTask,['raw.edwDemandPlanning'],['clean.edwDemandPlanning'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/demandplanning/CleansingDemandPlanningTask.scala
145,datalake-cleansing,CleansingEuropoolBrandTask,['raw.EDWEuropoolBrand'],['clean.EDWEuropoolBrand'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/brand/CleansingEuropoolBrandTask.scala
146,datalake-cleansing,CleansingEuropoolPotentialsTask,['raw.EDWEuropoolPotentials'],['clean.EDWEuropoolPotentials'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/potentials/CleansingEuropoolPotentialsTask.scala
147,datalake-cleansing,CleansingEuropoolSalesTask,['raw.EDWEuropoolSales'],['clean.EDWEuropoolSales'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/sales/CleansingEuropoolSalesTask.scala
148,datalake-cleansing,CleansingEuropoolSegmentR3Task,['raw.EDWEuropoolSegmentR3'],['clean.EDWEuropoolSegmentR3'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/segmentR3/CleansingEuropoolSegmentR3Task.scala
149,datalake-cleansing,CleansingExchangeRatesTask,['raw.edwExchangeRates'],['clean.edwExchangeRates'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/exchangerates/CleansingExchangeRatesTask.scala
150,datalake-cleansing,CleansingFloorPriceTask,['raw.floorPrice'],['clean.floorPrice'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/floorprice/CleansingFloorPriceTask.scala
151,datalake-cleansing,InventoryTask,[],['clean.inventory'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/inventory/InventoryTask.scala
152,datalake-cleansing,CleansingMaterialClassificationTask,['raw.marketshareMaterialClassification'],['clean.marketshareMaterialClassification'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/marketshare/materialclassification/CleansingMaterialClassificationTask.scala
153,datalake-cleansing,CleansingSizeTypeMartTask,['raw.marketshareSizeTypeMart'],['clean.marketshareSizeTypeMart'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/marketshare/sizetypemart/CleansingSizeTypeMartTask.scala
154,datalake-cleansing,CleansingMaterialTask,[],[],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/material/CleansingMaterialTask.scala
155,datalake-cleansing,MaterialPredecessorTask,[],['clean.materialPredecessor'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/materialpredecessor/MaterialPredecessorTask.scala
156,datalake-cleansing,CleansingMaterialSalesOrgTask,['raw.edwMaterialSales'],['clean.edwMaterialSales'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/materialsalesorg/CleansingMaterialSalesOrgTask.scala
157,datalake-cleansing,NetSalesTask,['raw.netSales'],['clean.netSales'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/netsales/NetSalesTask.scala
158,datalake-cleansing,CleansingOrderToCashMartTask,['raw.orderToCashMart'],['clean.orderToCashMart'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/otcmart/CleansingOrderToCashMartTask.scala
